Epoch,F1-score,Accuracy,ROC-AUC,Sensitivity
1,0.0,0.5108173076923077,0.5221361468420292,0.0
2,0.6569814366424536,0.4891826923076923,0.5274230380112733,1.0
3,0.5161290322580645,0.5132211538461539,0.5268478103772221,0.5307125307125307
4,0.6165556612749762,0.515625,0.5285099002746061,0.7960687960687961
5,0.24091778202676867,0.5228365384615384,0.5247029917618152,0.1547911547911548
6,0.6496710526315789,0.4879807692307692,0.5291400491400491,0.9705159705159705
7,0.6569814366424536,0.4891826923076923,0.5416736522618876,1.0
8,0.4352773826458037,0.5228365384615384,0.5378580719757191,0.3759213759213759
9,0.6362068965517241,0.49278846153846156,0.5383003324179795,0.9066339066339066
10,0.6330196749358425,0.484375,0.548943488943489,0.9090909090909091
11,0.5698689956331878,0.5264423076923077,0.5512704147998266,0.6412776412776413
12,0.5905759162303665,0.5300480769230769,0.5487411475646771,0.6928746928746928
13,0.35234899328859065,0.5360576923076923,0.5522994652406417,0.257985257985258
14,0.6381865736704446,0.5012019230769231,0.5564098858216505,0.8992628992628993
15,0.5669291338582678,0.5372596153846154,0.5549588090764561,0.6191646191646192
16,0.5182389937106918,0.5396634615384616,0.5571498771498771,0.5061425061425061
17,0.5997931747673215,0.5348557692307693,0.5638676109264344,0.7125307125307125
18,0.6331838565022421,0.5084134615384616,0.5674461627402805,0.8673218673218673
19,0.49046321525885556,0.5504807692307693,0.5620465385171267,0.44226044226044225
20,0.5569917743830788,0.546875,0.5654285301344124,0.5823095823095823
21,0.5926701570680628,0.5324519230769231,0.5697817603699957,0.6953316953316954
22,0.60343087790111,0.5276442307692307,0.5731059401647637,0.7346437346437347
23,0.5967914438502674,0.546875,0.5730163318398613,0.6855036855036855
24,0.562137049941928,0.546875,0.5725336031218384,0.5945945945945946
25,0.5941872981700753,0.546875,0.5746206099147275,0.6781326781326781
26,0.6096579476861167,0.5336538461538461,0.5765515247868189,0.7444717444717445
27,0.5730464326160815,0.546875,0.5776875270992918,0.6216216216216216
28,0.5995717344753748,0.5504807692307693,0.5779679144385026,0.687960687960688
29,0.5714285714285715,0.5384615384615384,0.5776383870501518,0.628992628992629
30,0.5843439911797133,0.546875,0.5810203786674375,0.6511056511056511
31,0.5688487584650113,0.5408653846153846,0.5798583610348317,0.6191646191646192
32,0.6104830421377184,0.5444711538461539,0.5839745627980922,0.7297297297297297
33,0.5503030303030303,0.5540865384615384,0.5841653418124007,0.5577395577395577
34,0.5905172413793104,0.5432692307692307,0.5850209567856627,0.6732186732186732
35,0.532319391634981,0.5564903846153846,0.5845035409741293,0.515970515970516
36,0.5409429280397022,0.5552884615384616,0.5831073854603266,0.5356265356265356
37,0.5547445255474451,0.5600961538461539,0.5858303223009105,0.5601965601965602
38,0.5264516129032258,0.5588942307692307,0.5855441537794479,0.5012285012285013
39,0.5604651162790697,0.5456730769230769,0.5877438936262467,0.5921375921375921
40,0.5730593607305936,0.5504807692307693,0.5898713686948981,0.6167076167076168
41,0.5190039318479686,0.5588942307692307,0.5878190489955195,0.4864864864864865
42,0.5272727272727272,0.5625,0.5892065327359446,0.4987714987714988
43,0.5603751465416178,0.5492788461538461,0.590050585344703,0.5872235872235873
44,0.542997542997543,0.5528846153846154,0.591813845931493,0.542997542997543
45,0.5907626208378088,0.5420673076923077,0.593322734499205,0.6756756756756757
46,0.574635241301908,0.5444711538461539,0.5941956930192225,0.628992628992629
47,0.5321100917431192,0.5709134615384616,0.5922474346003758,0.4987714987714988
48,0.5730337078651685,0.5432692307692307,0.5944500650383003,0.6265356265356266
49,0.543640897755611,0.5600961538461539,0.5941205376499494,0.5356265356265356
50,0.5784204671857619,0.5444711538461539,0.5967914438502673,0.6388206388206388
